"block","plot","accession","Entry","Name","Pedigree","NY Seed","random"
2,655,"LA02065SBSBSBSB-88",45,"LA02065SBSBSBSB-88","LA604/982IBI-64(833/T397)","seed available",0.472001500194892
1,203,"LA03018SBSBSB-65-S1",46,"LA03018SBSBSB-65-S1","LA9819IBI-75-2-B/FL9418-A3-B4-B-I","seed available",0.435433067614213
2,737,"LA03018SBSBSB-65-S1",46,"LA03018SBSBSB-65-S1","LA9819IBI-75-2-B/FL9418-A3-B4-B-I","seed available",0.649138922803104
1,445,"LA03040SBSBSB-83",47,"LA03040SBSBSB-83","LA9339/HORIZON321","seed available",0.97414163290523
2,647,"LA03040SBSBSB-83",47,"LA03040SBSBSB-83","LA9339/HORIZON321","seed available",0.450328680220991
1,338,"LA03046SBS7-B-S1",48,"LA03046SBS7-B-S1","LA9339/TAMO405","seed available",0.707515957998112
2,900,"LA03046SBS7-B-S1",48,"LA03046SBS7-B-S1","LA9339/TAMO405","seed available",0.974943374283612
1,219,"LA03060SBSBSB-S1",49,"LA03060SBSBSB-S1","TX96M1398/LA9339","seed available",0.465857817558572
2,622,"LA03060SBSBSB-S1",49,"LA03060SBSBSB-S1","TX96M1398/LA9339","seed available",0.398246761411428
1,318,"LA03066SBS-L1",50,"LA03066SBS-L1","UFRGS 952521/LA966BIB32-1-1-B","seed available",0.664757843594998
2,533,"LA03066SBS-L1",50,"LA03066SBS-L1","UFRGS 952521/LA966BIB32-1-1-B","seed available",0.195444472134113
1,79,"LA04004SBSB-121",51,"LA04004SBSB-121","UFRGS995080-1/9818IBI-24-B-I1","seed available",0.154840422794223
2,806,"LA04004SBSB-121",51,"LA04004SBSB-121","UFRGS995080-1/9818IBI-24-B-I1","seed available",0.790665191365406
1,341,"LA04004SBSB-61-B-S1",52,"LA04004SBSB-61-B-S1","LA97006GBS-30-1-C/LA90113-1-B3-AFL2-1-19-3-1","seed available",0.709643732290715
2,539,"LA04004SBSB-61-B-S1",52,"LA04004SBSB-61-B-S1","LA97006GBS-30-1-C/LA90113-1-B3-AFL2-1-19-3-1","seed available",0.20912231435068
1,110,"LA04004SBSB-7-B-S1",53,"LA04004SBSB-7-B-S1","LA97006GBS-30-1-C/LA90113-1-B3-AFL2-1-19-3-1","seed available",0.219809893751517
2,794,"LA04004SBSB-7-B-S1",53,"LA04004SBSB-7-B-S1","LA97006GBS-30-1-C/LA90113-1-B3-AFL2-1-19-3-1","seed available",0.763596396893263
1,365,"LA04014SBSB-39",54,"LA04014SBSB-39","LA97006GBS-30-1-C/LA90113-1-B3-AFL2-1-19-3-1","seed available",0.797432234510779
2,679,"LA04014SBSB-39",54,"LA04014SBSB-39","LA97006GBS-30-1-C/LA90113-1-B3-AFL2-1-19-3-1","seed available",0.528193281963468
1,362,"LA04018SBSB-181",55,"LA04018SBSB-181","TX96M1385/LA604//833","seed available",0.773373580072075
2,762,"LA04018SBSB-181",55,"LA04018SBSB-181","TX96M1385/LA604//833","seed available",0.697071465430781
1,243,"LA04018SBSB-86",56,"LA04018SBSB-86","HARRISON/TAMO405","seed available",0.517271686345339
2,678,"LA04018SBSB-86",56,"LA04018SBSB-86","HARRISON/TAMO405","seed available",0.527609785320237
1,217,"LA05011GSBS-30",57,"LA05011GSBS-30","TAMO405/LA99016","seed available",0.463559595867991
2,713,"LA05011GSBS-30",57,"LA05011GSBS-30","TAMO405/LA99016","seed available",0.60240782937035
1,149,"LA05011GSBSBSB-11",58,"LA05011GSBSBSB-11","TAMO405/LA99016","seed available",0.311658921185881
2,882,"LA05011GSBSBSB-11",58,"LA05011GSBSBSB-11","TAMO405/LA99016","seed available",0.937567429849878
1,363,"LA06009SBSBSB-24-S",59,"LA06009SBSBSB-24-S","LA02030-S-B-5-S2/LA99016","seed available",0.794383337488398
2,901,"LA06009SBSBSB-24-S",59,"LA06009SBSBSB-24-S","LA02030-S-B-5-S2/LA99016","seed available",0.977889456320554
1,391,"LA06046-N2-Ab3",60,"LA06046-N2-Ab3","P973A38-3-6/LA90105-C4-1-1-1-2-1","seed available",0.854957215487957
2,791,"LA06046-N2-Ab3",60,"LA06046-N2-Ab3","P973A38-3-6/LA90105-C4-1-1-1-2-1","seed available",0.75778407859616
1,349,"LA06058SBS-32-S1",61,"LA06058SBS-32-S1","LA9339/TAMO 405","seed available",0.744131044251844
2,826,"LA06058SBS-32-S1",61,"LA06058SBS-32-S1","LA9339/TAMO 405","seed available",0.820553315570578
1,80,"LA06059SBS-84-S1",62,"LA06059SBS-84-S1","TAMO 405/HZN LA976","seed available",0.158454828197137
2,903,"LA06059SBS-84-S1",62,"LA06059SBS-84-S1","TAMO 405/HZN LA976","seed available",0.981173625681549
1,10,"LA06059SBSBSB-16-S",63,"LA06059SBSBSB-16-S","TAMO 405/LA99016","seed available",0.0200251063797623
2,804,"LA06059SBSBSB-16-S",63,"LA06059SBSBSB-16-S","TAMO 405/LA99016","seed available",0.785020880866796
1,65,"LA06059SBSBSB-97-S",64,"LA06059SBSBSB-97-S","TAMO 405/LA99016","seed available",0.136970595223829
2,575,"LA06059SBSBSB-97-S",64,"LA06059SBSBSB-97-S","TAMO 405/LA99016","seed available",0.300338864326477
1,325,"LA06059SBSBSBSB-4-S1",65,"LA06059SBSBSBSB-4-S1","TAMO 405/LA99016","seed available",0.675423855660483
2,674,"LA06059SBSBSBSB-4-S1",65,"LA06059SBSBSBSB-4-S1","TAMO 405/LA99016","seed available",0.516424432629719
1,333,"LA06063SBSB-S1",66,"LA06063SBSB-S1","UFRGS 028152-1/LA02079-S-B-69-S2","seed available",0.697053490905091
2,779,"LA06063SBSB-S1",66,"LA06063SBSB-S1","UFRGS 028152-1/LA02079-S-B-69-S2","seed available",0.728349308948964
1,274,"LA06063SBSBSB-13",67,"LA06063SBSBSB-13","UFRGS 028152-1/LA02079-S-B-69-S2","seed available",0.574187458027154
2,569,"LA06063SBSBSB-13",67,"LA06063SBSBSB-13","UFRGS 028152-1/LA02079-S-B-69-S2","seed available",0.289706429466605
1,334,"LA07005SBSBSB-12",68,"LA07005SBSBSB-12","FL0121FSBSBSB-S3  /  LA99016","seed available",0.698272173758596
2,776,"LA07005SBSBSB-12",68,"LA07005SBSBSB-12","FL0121FSBSBSB-S3  /  LA99016","seed available",0.719593225978315
1,108,"LA07007SBSB-68",69,"LA07007SBSB-68","FL0206FSB-34-S2  /  LA06070,F1 (UFRGS046048-1/HZN 270)","seed available",0.215485506691039
2,601,"LA07007SBSB-68",69,"LA07007SBSB-68","FL0206FSB-34-S2  /  LA06070,F1 (UFRGS046048-1/HZN 270)","seed available",0.346454967046157
1,24,"LA07007SBSBSB-18",70,"LA07007SBSBSB-18","FL0206FSB-34-S2(UFRGS 995088-3/LA9535D118-4) /  LA06070,F1 (UFRGS046048-1/HZN 270)","seed available",0.0469331806525588
2,609,"LA07007SBSBSB-18",70,"LA07007SBSBSB-18","FL0206FSB-34-S2(UFRGS 995088-3/LA9535D118-4) /  LA06070,F1 (UFRGS046048-1/HZN 270)","seed available",0.372077904874459
