"plot_number","prow","pcol","grow","gcol","subplot"
505,10,"14",1,2,2
505,10,"14",1,3,1
839,11,"1",1,1,3
839,11,"1",1,2,2
839,11,"1",1,3,1
822,11,"2",1,1,3
822,11,"2",1,2,2
822,11,"2",1,3,1
815,11,"3",1,1,3
815,11,"3",1,2,2
815,11,"3",1,3,1
740,11,"4",1,1,3
740,11,"4",1,2,2
740,11,"4",1,3,1
733,11,"5",1,1,3
733,11,"5",1,2,2
733,11,"5",1,3,1
716,11,"6",1,1,3
716,11,"6",1,2,2
716,11,"6",1,3,1
709,11,"7",1,1,3
709,11,"7",1,2,2
709,11,"7",1,3,1
634,11,"8",1,1,3
634,11,"8",1,2,2
634,11,"8",1,3,1
627,11,"9",1,1,3
627,11,"9",1,2,2
627,11,"9",1,3,1
610,11,"10",1,1,3
610,11,"10",1,2,2
610,11,"10",1,3,1
603,11,"11",1,1,3
603,11,"11",1,2,2
603,11,"11",1,3,1
528,11,"12",1,1,3
528,11,"12",1,2,2
528,11,"12",1,3,1
521,11,"13",1,1,3
521,11,"13",1,2,2
521,11,"13",1,3,1
504,11,"14",1,1,3
504,11,"14",1,2,2
504,11,"14",1,3,1
840,12,"1",1,1,3
840,12,"1",1,2,2
840,12,"1",1,3,1
821,12,"2",1,1,3
821,12,"2",1,2,2
821,12,"2",1,3,1
816,12,"3",1,1,3
816,12,"3",1,2,2
816,12,"3",1,3,1
739,12,"4",1,1,3
739,12,"4",1,2,2
739,12,"4",1,3,1
734,12,"5",1,1,3
734,12,"5",1,2,2
734,12,"5",1,3,1
715,12,"6",1,1,3
715,12,"6",1,2,2
715,12,"6",1,3,1
710,12,"7",1,1,3
710,12,"7",1,2,2
710,12,"7",1,3,1
633,12,"8",1,1,3
633,12,"8",1,2,2
633,12,"8",1,3,1
628,12,"9",1,1,3
628,12,"9",1,2,2
628,12,"9",1,3,1
609,12,"10",1,1,3
609,12,"10",1,2,2
609,12,"10",1,3,1
604,12,"11",1,1,3
604,12,"11",1,2,2
